189.27.246.70 - - "2015-12-19 01:06:47" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/3/4 200 "Mozilla/5.0 (Windows NT 6.1; rv:42.0) Gecko/20100101 Firefox/42.0"
162.243.67.92 - - "2015-12-19 02:06:39" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/30/17 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:06:44" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/18/15 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:06:49" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/50/28 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:07:04" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/38/20 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:07:08" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/35/32 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:07:14" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/151/30 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:07:19" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/146/31 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:07:54" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/8 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:07:58" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/6 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:08:04" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/7 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:08:08" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/14 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:08:14" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/31 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:08:19" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/7 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:08:23" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/6 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:08:33" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/8 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:08:49" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/14 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:08:59" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/31 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:09:08" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:09:19" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/6/6 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:09:23" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/14/8 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:09:50" http://revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20n%C2%BA%201 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:13:08" http://revista.projuriscursos.com.br/index.php/revista-projuris/issue/download/RIES%20n%C2%BA%201/1 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:14:08" http://revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
162.243.67.92 - - "2015-12-19 02:14:43" http://revista.projuriscursos.com.br/index.php/revista-projuris/issue/download/v3%20n1%20%28jan-jun%29%202015/3 200 "Mozilla/5.0 (compatible; spbot/4.4.2; +http://OpenLinkProfiler.org/bot )"
40.77.167.3 bot - "2015-12-19 03:12:29" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)"
157.55.39.43 bot - "2015-12-19 04:40:32" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/151/30 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
188.165.15.85 bot - "2015-12-19 06:39:33" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/3 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
188.165.15.85 bot - "2015-12-19 07:53:34" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
66.249.66.137 bot - "2015-12-19 08:19:45" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/6/6 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.142 bot - "2015-12-19 08:21:30" http://revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20v.2n.1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
157.55.39.213 bot - "2015-12-19 10:33:18" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/38 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
188.165.15.85 bot - "2015-12-19 13:26:35" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/146 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
